Wavelength (nm),Red Lead
1.902,0.769077
1.903,0.763794
1.904,0.758548
1.905,0.753476
1.906,0.748433
1.907,0.74355
1.908,0.738905
1.909,0.734359
1.91,0.729908
1.911,0.725608
1.912,0.721477
1.913,0.717453
1.914,0.713719
1.915,0.710128
1.916,0.706622
1.917,0.703463
1.918,0.70036
1.919,0.697235
1.92,0.694325
1.921,0.691596
1.922,0.68893
1.923,0.686489
1.924,0.68438
1.925,0.682483
1.926,0.680751
1.927,0.679125
1.928,0.677677
1.929,0.676416
1.93,0.675319
1.931,0.674503
1.932,0.674003
1.933,0.673601
1.934,0.673403
1.935,0.673393
1.936,0.67343
1.937,0.673584
1.938,0.674021
1.939,0.674546
1.94,0.675105
1.941,0.675713
1.942,0.676348
1.943,0.676876
1.944,0.677642
1.945,0.678561
1.946,0.679532
1.947,0.680556
1.948,0.681697
1.949,0.682865
1.95,0.684055
1.951,0.685394
1.952,0.686827
1.953,0.688378
1.954,0.690121
1.955,0.691813
1.956,0.693593
1.957,0.69536
1.958,0.697124
1.959,0.698875
1.96,0.700722
1.961,0.702568
1.962,0.704402
1.963,0.706173
1.964,0.707897
1.965,0.709688
1.966,0.71133
1.967,0.712843
1.968,0.71439
1.969,0.715765
1.97,0.717297
1.971,0.718864
1.972,0.720579
1.973,0.722279
1.974,0.724073
1.975,0.725862
1.976,0.727613
1.977,0.729319
1.978,0.731069
1.979,0.732924
1.98,0.734924
1.981,0.736745
1.982,0.738633
1.983,0.740408
1.984,0.742054
1.985,0.743566
1.986,0.745206
1.987,0.746764
1.988,0.748224
1.989,0.749732
1.99,0.751127
1.991,0.752409
1.992,0.753776
1.993,0.755103
1.994,0.756449
1.995,0.757952
1.996,0.759257
1.997,0.760482
1.998,0.761579
1.999,0.762749
2.0,0.763769
2.001,0.764834
2.002,0.766037
2.003,0.767083
2.004,0.768086
2.005,0.768992
2.006,0.769872
2.007,0.770569
2.008,0.771154
2.009,0.77161
2.01,0.77184
2.011,0.772083
2.012,0.772277
2.013,0.772326
2.014,0.772373
2.015,0.772494
2.016,0.772513
2.017,0.772497
2.018,0.772431
2.019,0.772363
2.02,0.772132
2.021,0.771767
2.022,0.771379
2.023,0.770842
2.024,0.770362
2.025,0.769951
2.026,0.769399
2.027,0.76877
2.028,0.768093
2.029,0.767294
2.03,0.76663
2.031,0.765895
2.032,0.765162
2.033,0.764418
2.034,0.763622
2.035,0.76285
2.036,0.762196
2.037,0.761359
2.038,0.760422
2.039,0.759476
2.04,0.758449
2.041,0.757345
2.042,0.756268
2.043,0.755215
2.044,0.754107
2.045,0.752919
2.046,0.751805
2.047,0.750656
2.048,0.749588
2.049,0.748596
2.05,0.747589
2.051,0.746588
2.052,0.745686
2.053,0.744837
2.054,0.743983
2.055,0.743252
2.056,0.742468
2.057,0.741599
2.058,0.740579
2.059,0.739447
2.06,0.738097
2.061,0.736926
2.062,0.735647
2.063,0.734565
2.064,0.73358
2.065,0.732716
2.066,0.732019
2.067,0.731265
2.068,0.730637
2.069,0.729986
2.07,0.729314
2.071,0.728576
2.072,0.728047
2.073,0.727439
2.074,0.726877
2.075,0.726351
2.076,0.725881
2.077,0.725458
2.078,0.724964
2.079,0.724493
2.08,0.724
2.081,0.723435
2.082,0.722935
2.083,0.722442
2.084,0.722005
2.085,0.721602
2.086,0.721217
2.087,0.7208870000000001
2.088,0.720569
2.089,0.72025
2.09,0.719998
2.091,0.719829
2.092,0.719775
2.093,0.719669
2.094,0.719618
2.095,0.719547
2.096,0.719475
2.097,0.719364
2.098,0.719241
2.099,0.71913
2.1,0.718952
2.101,0.718857
2.102,0.718845
2.103,0.718793
2.104,0.718715
2.105,0.718742
2.106,0.718838
2.107,0.718998
2.108,0.719237
2.109,0.719638
2.11,0.719926
2.111,0.720153
2.112,0.720553
2.113,0.720927
2.114,0.721512
2.115,0.722383
2.116,0.723124
2.117,0.723972
2.118,0.724722
2.119,0.725404
2.12,0.726076
2.121,0.72667
2.122,0.727337
2.123,0.727996
2.124,0.728554
2.125,0.729128
2.126,0.729627
2.127,0.730278
2.128,0.730987
2.129,0.731661
2.13,0.732417
2.131,0.733152
2.132,0.733922
2.133,0.734555
2.134,0.735123
2.135,0.735728
2.136,0.736115
2.137,0.736699
2.138,0.737418
2.139,0.738221
2.14,0.73901
2.141,0.739872
2.142,0.740696
2.143,0.74143
2.144,0.742034
2.145,0.742515
2.146,0.743007
2.147,0.743309
2.148,0.74382
2.149,0.744434
2.15,0.744985
2.151,0.745538
2.152,0.746188
2.153,0.74683
2.154,0.747562
2.155,0.748436
2.156,0.749298
2.157,0.75028
2.158,0.751118
2.159,0.751989
2.16,0.752706
2.161,0.75328
2.162,0.753741
2.163,0.754233
2.164,0.754634
2.165,0.755135
2.166,0.755671
2.167,0.756164
2.168,0.756704
2.169,0.757173
2.17,0.757457
2.171,0.758013
2.172,0.758672
2.173,0.759354
2.174,0.760192
2.175,0.761046
2.176,0.762002
2.177,0.762828
2.178,0.763676
2.179,0.764469
2.18,0.765163
2.181,0.765776
2.182,0.766548
2.183,0.767295
2.184,0.768029
2.185,0.768951
2.186,0.769702
2.187,0.770386
2.188,0.771179
2.189,0.771967
2.19,0.772676
2.191,0.773464
2.192,0.774158
2.193,0.774735
2.194,0.775317
2.195,0.775857
2.196,0.776443
2.197,0.776941
2.198,0.77755
2.199,0.778324
2.2,0.779016
2.201,0.779702
2.202,0.780421
2.203,0.781047
2.204,0.781514
2.205,0.781947
2.206,0.782377
2.207,0.782776
2.208,0.78318
2.209,0.783633
2.21,0.784125
2.211,0.784563
2.212,0.785019
2.213,0.785476
2.214,0.785864
2.215,0.786334
2.216,0.786871
2.217,0.787342
2.218,0.787848
2.219,0.788314
2.22,0.788812
2.221,0.789153
2.222,0.789379
2.223,0.789582
2.224,0.789648
2.225,0.789746
2.226,0.78984
2.227,0.789956
2.228,0.790113
2.229,0.790044
2.23,0.789878
2.231,0.789653
2.232,0.789362
2.233,0.788918
2.234,0.788107
2.235,0.787311
2.236,0.786537
2.237,0.785542
2.238,0.784587
2.239,0.783895
2.24,0.782767
2.241,0.781234
2.242,0.77993
2.243,0.778573
2.244,0.777197
2.245,0.776023
2.246,0.774458
2.247,0.772634
2.248,0.770782
2.249,0.768627
2.25,0.766576
2.251,0.764516
2.252,0.762525
2.253,0.760549
2.254,0.75858
2.255,0.756577
2.256,0.75474
2.257,0.752854
2.258,0.751147
2.259,0.749783
2.26,0.748158
2.261,0.74663
2.262,0.74531
2.263,0.743868
2.264,0.742771
2.265,0.741968
2.266,0.74101
2.267,0.740241
2.268,0.739571
2.269,0.738752
2.27,0.737835
2.271,0.737052
2.272,0.736225
2.273,0.735448
2.274,0.73476
2.275,0.734162
2.276,0.733572
2.277,0.733094
2.278,0.732798
2.279,0.732378
2.28,0.731834
2.281,0.731531
2.282,0.731455
2.283,0.73122
2.284,0.73101
2.285,0.73088
2.286,0.730665
2.287,0.730454
2.288,0.730297
2.289,0.730369
2.29,0.73016
2.291,0.729758
2.292,0.729246
2.293,0.728623
2.294,0.728044
2.295,0.72743
2.296,0.727037
2.297,0.726688
2.298,0.726068
2.299,0.725492
2.3,0.724844
2.301,0.724064
2.302,0.723298
2.303,0.722643
2.304,0.722211
2.305,0.721732
2.306,0.721316
2.307,0.721007
2.308,0.720564
2.309,0.720219
2.31,0.719763
2.311,0.718944
2.312,0.718394
2.313,0.717871
2.314,0.717308
2.315,0.716852
2.316,0.71645
2.317,0.715921
2.318,0.715389
2.319,0.715018
2.32,0.714662
2.321,0.714236
2.322,0.713864
2.323,0.713666
2.324,0.713279
2.325,0.712567
2.326,0.712283
2.327,0.712162
2.328,0.712082
2.329,0.712324
2.33,0.712503
2.331,0.712716
2.332,0.712837
2.333,0.712961
2.334,0.713104
2.335,0.713175
2.336,0.713178
2.337,0.713469
2.338,0.713882
2.339,0.714111
2.34,0.714194
2.341,0.714275
2.342,0.7146
2.343,0.715117
2.344,0.715923
2.345,0.716356
2.346,0.716118
2.347,0.71585
2.348,0.715477
2.349,0.715158
2.35,0.715034
2.351,0.715063
2.352,0.714951
2.353,0.714935
2.354,0.715486
2.355,0.715707
2.356,0.71562
2.357,0.715929
2.358,0.715969
2.359,0.715771
2.36,0.716251
2.361,0.716883
2.362,0.717298
2.363,0.717748
2.364,0.717457
2.365,0.716758
2.366,0.716812
2.367,0.717272
2.368,0.717667
2.369,0.718314
2.37,0.718264
2.371,0.71717
2.372,0.716782
2.373,0.716571
2.374,0.715926
2.375,0.716513
2.376,0.717398
2.377,0.717128
2.378,0.717388
2.379,0.717904
2.38,0.717471
2.381,0.717526
2.382,0.717673
2.383,0.716974
2.384,0.716462
2.385,0.716644
2.386,0.717048
2.387,0.717246
2.388,0.71686
2.389,0.715897
2.39,0.715256
2.391,0.714301
2.392,0.713465
2.393,0.713167
2.394,0.712202
2.395,0.711737
2.396,0.711409
2.397,0.710438
2.398,0.709392
2.399,0.708307
2.4,0.707489
2.401,0.706738
2.402,0.705847
2.403,0.704713
2.404,0.703277
2.405,0.702399
2.406,0.702063
2.407,0.701008
2.408,0.699911
2.409,0.699255
2.41,0.698753
2.411,0.698067
2.412,0.697467
2.413,0.697367
2.414,0.696375
2.415,0.694945
2.416,0.69371
2.417,0.69181
2.418,0.689684
2.419,0.688537
2.42,0.688024
2.421,0.686339
2.422,0.684875
2.423,0.684234
2.424,0.68227
2.425,0.68162
2.426,0.681791
2.427,0.679966
2.428,0.678461
2.429,0.676923
2.43,0.673788
2.431,0.671863
2.432,0.670555
2.433,0.669029
2.434,0.669609
2.435,0.668695
2.436,0.667664
2.437,0.666895
2.438,0.663655
2.439,0.661912
2.44,0.661716
2.441,0.661558
2.442,0.661328
2.443,0.661757
2.444,0.660684
2.445,0.657194
2.446,0.654763
2.447,0.653619
2.448,0.652325
2.449,0.651224
2.45,0.652666
2.451,0.651507
2.452,0.646204
2.453,0.643775
2.454,0.64146
2.455,0.638532
2.456,0.637531
2.457,0.636725
2.458,0.635758
2.459,0.634653
2.46,0.63664
2.461,0.637427
2.462,0.634581
2.463,0.631988
2.464,0.627221
2.465,0.626736
2.466,0.627473
2.467,0.626012
2.468,0.627702
2.469,0.627559
2.47,0.627984
2.471,0.628278
2.472,0.626102
2.473,0.6228
2.474,0.618503
2.475,0.616714
2.476,0.619984
2.477,0.620472
2.478,0.623506
2.479,0.622658
2.48,0.616205
2.481,0.613069
2.482,0.607595
2.483,0.605483
2.484,0.608145
2.485,0.609098
2.486,0.612385
2.487,0.612845
2.488,0.609859
2.489,0.607773
2.49,0.606179
2.491,0.605068
2.492,0.602827
2.493,0.604212
2.494,0.602211
2.495,0.599365
2.496,0.602593
2.497,0.607918
2.498,0.613302
2.499,0.617824
2.5,0.618467
